공고명,관련,호
Korea Customs Week 2026 행사기획 및 준비 대행 용역,1,69
2026년 관세청 SNS 콘텐츠 제작 및 홍보 지원,1,56
2025년 관세청 SNS 콘텐츠 제작 및 홍보 지원,1,56
2026년 온라인 홍보용역(유튜브) 관련 조달계약 체결 의뢰,1,56
2025년 청소년 세금교육 영상 콘텐츠 제작,2,75
2025년 찾아가는 조세박물관 운영 조달입찰 체결,1,69
2026년 조달청 온라인 홍보 사업,1,56
대구지방조달청 비축물자 부대작업 용역 ,1,44
2026년 국제공공조달워크숍(IPPW) 행사대행 용역,1,69
2026년 국제공공조달워크숍(IPPW) 행사 대행 용역,1,69
양평헬스투어 프로그램,1,57
2025 사우디 건축 박람회 전시회 참가 운영 용역,1,69
전통식품(된장 외 2종) 수의 계약,1,19
비축물자(마스크) 물류관리(운송 및 하차 등) 용역,1,40
제5회 조달의 날 및 혁신제품 통합행사 대행용역,1,69
인천비축기지 부대작업 용역,1,44
비축물자 2025년도 화물자동차 운송용역(연간단가) 계약,1,40
비축물자 부대작업 용역,1,44
마스크 비축창고 임차 및 보관관리 용역,1,44
2025년 직원 기념일 케이크 제조 및 배송업체 선정 계약,1,19
2025년도 비축물자 운송용역,1,40
2026년 교원해외파견사업 항공권 구매 및 비자 발급 대행 용역,1,66
2026년 국립특수교육원 구내식당 식재료 공급,1,19
2026년 1분기 국립국제교육원 급식 식재료 구매 소액수의 견적제출 안내공고,2,9
2025년 4분기 국립국제교육원 급식 식재료 구매 소액수의 견적제출 안내공고,1,24
한국경진학교 2학기 주제별 체험학습 및 생애주기별 맞춤형 체험학습 전세버스 임차용역 소액수의 견적제출 공고,2,67
2025년 3분기 국립국제교육원 급식 식재료 구매 소액수의 견적제출 안내공고,1,24
2025년 국립특수교육원 구내식당 식재료 공급,1,24
2025년 2분기 국립국제교육원 급식 식재료 구매 소액수의 견적제출 안내공고,1,19
2025년 한국어능력시험(TOPIK) 국외 문답지 해외특송 용역,2,35
2025학년도 한국경진학교 우유급식 소액수의 견적 제출 공고,2,9
2025학년도 한국우진학교 우유급식 구매,2,9
2026 브랜드기획전 양자세대 전시연출용역,1,69
2026년 국립중앙과학관 푸드테크 특별전 전시 연출 및 운영 용역,1,69
2026 상반기 과학문화행사 기획 및 운영 위탁용역,1,69
서울구로우체국 아파트전담 소포우편물 위탁배달용역(구로구지역),2,35
2026년 제55회 사이언스데이 운영 용역 ,1,69
2026년도 전파시험인증센터 통근버스 임차 용역,2,67
2026년 시민 참여형 스포츠과학 행사 용역,1,69
태안우체국 아파트전담 소포우편물 위탁배달 용역,2,35
당진우체국 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(오산),2,35
아파트전담 소포우편물 위탁배달 용역(부평),2,35
아파트전담 소포우편물 위탁배달 용역(안산),2,35
대전우편집중국 파지류 매각 단가계약,1,47
달성우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
대구수성우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
2026년 국립중앙과학관 연간 브랜드 행사 대행 용역,1,69
대구달서우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
서대구우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
동대구우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
대구우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
무인우편접수기 우편물 위탁수거,2,35
외부용 무인우편접수기 우편물 위탁수거 용역,2,35
부산강서우체국(지역2) 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(하남),2,35
마산우체국(마산회원구) 아파트전담 소포우편물 위탁배달 용역,2,35
마산우체국(마산합포구) 아파트전담 소포우편물 위탁배달 용역,2,35
동래우체국 아파트전담 소포우편물 위탁배달 용역,2,35
남부산우체국 아파트전담 소포우편물 위탁배달 용역,2,35
진주우체국 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(시흥),2,35
아파트전담 소포우편물 위탁배달 용역(동수원),2,35
2026년 전북지방우정청 우체국소포 소포상자 위탁판매 공급업체 입찰공고 ,1,46
양산우체국 아파트전담 소포우편물 위탁배달 용역,2,35
거제우체국 아파트전담 소포우편물 위탁배달 용역,2,35
2025년 강원지방우정청 우체국소포 포장상자 위탁판매 공급업체 선정 입찰 공고,1,46
