공고명,사업요약
 2025년 고정익항공기 C-212 정비 용역(인시단가),고정익항공기 C-212 정비
 2025년 하반기 강화출장소 연간유지보수공사 건설폐기물처리용역,강화출장소 연간유지보수 건설폐기물처리
" 2025년(추경) 임도 실시설계용역 1차(노폭확장_기번5, 상마읍리 산104 외1)(수의시담)",임도 실시설계(노폭확장)
 2026년 천체투영관 장비 유지관리 용역사업(수의시담),천체투영관 장비 유지관리
 MMCA 상설전《한국미술 1900-1960》전시실 조성공사 ,MMCA 한국미술 1900-1960 전시실 조성
 [입찰대행] 2025 소비자 선호형 고구마 국내육성품종 보급시범,소비자 선호형 고구마 육성품종 보급시범
 국도1호선 익산 왕궁 도순1 등 14개소 절토사면 정밀안전점검용역,국도1호선 익산 등 절토사면 정밀안전점검
 국도22호선 고창 부안 용산1 등 16개소 절토사면 정밀안전점검 및 성능평가용역 ,국도22호선 고창 등 절토사면 점검·성능평가
 국도48호선 김포 고촌 신곡보도육교 캐노피 및 승강기 설치공사,국도48호선 신곡보도육교 캐노피·승강기 설치
 국도48호선 김포 양촌 누산리 일원 포장도 보수공사 건설폐기물처리용역,국도48호선 양촌 포장도 보수 폐기물처리
 국외 위탁교육[미국 또는 EU국의 주요국제조세 분야 최신 조사 이슈],국외 위탁교육(국제조세 조사 이슈)
 부여 관북리유적 일대 라이다 정밀 측량 및 지형도 제작 연구 용역,부여 관북리유적 라이다 측량·지형도 제작
 염소 품종 구분을 위한 WGS 및 SNP 칩 데이터를 활용한 마커 개발 용역,염소 품종 구분 마커 개발
 잠사곤충시험장 시험포 진입도로 포장 및 수로관 설치 공사 ,잠사곤충시험장 진입도로 포장·수로관 설치
 총포.도검.화약류 등의 안전관리에 관한 법률 전부개정 연구,총포·도검·화약류 안전관리법 개정 연구
'2024년 국가지정 목조문화유산 생물피해 조사 보고서' 발간,국가지정 목조문화유산 생물피해 보고서 발간
'25~'26년도 대전동부경찰서 지역경찰관서 청사 청소 용역,대전동부경찰서 청사 청소
'25년 일터혁신 상생컨설팅 및 재취업지원서비스 수행기관 선정 ,일터혁신 상생컨설팅·재취업지원 수행기관 선정
'찾아가는 사투리 지역 세미나' 개최 및 연계 부스 운영 용역,찾아가는 사투리 세미나·부스 운영
"(2025년 세계국가유산산업전 부스 디자인, 제작, 설치 및 철거 용역",세계국가유산산업전 부스 디자인·제작·설치
(24F022-A) 정신전력 교육영상교재(국가관 안보관) 제작용역,정신전력 교육영상교재 제작
(24F084-G)메타버스기반모집홍보센터 유지관리/고도화,메타버스 모집홍보센터 유지관리·고도화
(24G323-I) 국외영주권자 등 병사 주거래여행사 용역,국외영주권자 병사 주거래여행사
(256003-G)전자기스펙트럼측정/분석장비2차구매(개조),전자기스펙트럼측정·분석장비 구매(개조)
(256012-G)25년 영상통합공유체계 구축사업(리스자산),영상통합공유체계 구축(리스)
(256014-G)25년 TOD 원격운용체계 구축(리스자산) 및 CCTV 보호체계 설치,TOD 원격운용체계 구축·CCTV 보호체계 설치
(256015-G)25년 지능형 사이버위협분석 대응체계 구축사업(리스자산),지능형 사이버위협분석 대응체계 구축
(256022-G) 1보급단 물류센터 출고장 분류 자동화시스템 장비 구매설치,1보급단 물류센터 출고장 분류 자동화
(256029-G) 25년 VoIP 교환기 교체사업(리스자산),VoIP 교환기 교체
(256030-G) 25년 과학화전투훈련체계 노후 구성품 교체사업,과학화전투훈련체계 노후 구성품 교체
(256035-G) 25년 스마트훈련병관리체계 확대구축(리스자산),스마트훈련병관리체계 확대구축(리스)
"(256109-C) 155mm 추진(모듈, 단위)장약 팔레트 제조",155mm 추진장약 팔레트 제조
(256110-D) 155밀리 추진장약 팔레트 3종 제조,155밀리 추진장약 팔레트 3종 제조
(256138-B) 25년 데스크탑PC도입사업(리스자산),데스크탑PC 도입(리스)
(256208-E) 자동소음측정망 구축(서버설치 2작사),자동소음측정망 구축(2작사)
"(256209-C) 자동소음측정망 구축(서버설치, 2307부대)",자동소음측정망 구축(2307부대)
(256210-E) 자동소음측정망 구축(서버설치 5군단),자동소음측정망 구축(5군단)
"(256211-C) 자동소음측정망 구축(서버설치, 항공사)",자동소음측정망 구축(항공사)
(256213-F) 자동소음측정망 구축(서버미설치 1군단),"자동소음측정망 구축(1군단, 서버미설치)"
(256214-F) 자동소음측정망 구축(서버미설치 2군단),"자동소음측정망 구축(2군단, 서버미설치)"
(256215-D) 자동소음측정망 구축(서버 미설치 7군단),"자동소음측정망 구축(7군단, 서버미설치)"
(256216-D) 자동소음측정망 구축(서버 미설치 교육사),"자동소음측정망 구축(교육사, 서버미설치)"
(256217-D) 자동소음측정망 구축(서버미설치 수도군단),"자동소음측정망 구축(수도군단, 서버미설치)"
(256218-F) 자동소음측정망 구축(서버미설치 수방사),"자동소음측정망 구축(수방사, 서버미설치)"
(256219-D) 자동소음측정망 구축(서버 미설치 특전사),"자동소음측정망 구축(특전사, 서버미설치)"
(257040-H)유사통신망 네트워크 통합사업(리스자산),유사통신망 네트워크 통합(리스)
